commit_sha,repository,author,commit_date,message,lines_added,lines_deleted,files_changed,is_merge_commit,sprint_number
abc000075,phoenix-web-frontend,mark.smith,2024-01-05 14:01:00,refactor: improve data validation,138,14,1,False,1
abc000076,phoenix-shared-components,ana.lopez,2024-01-06 08:22:00,feat: implement authentication flow,68,2,1,False,1
abc000077,phoenix-auth-service,tom.garcia,2024-01-06 17:25:00,fix: resolve billing calculation issue,134,20,2,False,1
abc000078,phoenix-web-frontend,mark.smith,2024-01-06 14:59:00,refactor: improve data validation,28,8,4,False,1
abc000079,phoenix-customer-platform,james.taylor,2024-01-06 12:56:00,fix: urgent production hotfix,155,16,5,True,1
abc000080,phoenix-web-frontend,mark.smith,2024-01-08 18:15:00,chore: update dependencies,12,0,1,False,1
abc000081,phoenix-mobile-api,mark.smith,2024-01-08 20:55:00,refactor: improve data validation,138,38,2,False,1
abc000082,phoenix-auth-service,mark.smith,2024-01-08 08:28:00,fix: urgent production hotfix,37,11,4,False,1
abc000083,phoenix-customer-platform,david.kumar,2024-01-08 08:17:00,refactor: improve data validation,36,1,3,False,1
abc000084,phoenix-shared-components,david.kumar,2024-01-08 17:27:00,feat: add customer dashboard feature,71,16,3,False,1
abc000085,phoenix-billing-service,tom.garcia,2024-01-08 19:26:00,fix: resolve billing calculation issue,130,36,1,False,1
abc000086,phoenix-auth-service,david.kumar,2024-01-08 18:01:00,feat: implement authentication flow,104,19,5,False,1
abc000087,phoenix-billing-service,mark.smith,2024-01-08 17:37:00,feat: add customer dashboard feature,119,24,6,True,1
abc000088,phoenix-web-frontend,ana.lopez,2024-01-08 19:39:00,fix: resolve billing calculation issue,68,18,3,False,1
abc000089,phoenix-shared-components,mark.smith,2024-01-08 19:58:00,feat: add customer dashboard feature,149,9,2,False,1
abc000090,phoenix-customer-platform,james.taylor,2024-01-08 20:35:00,feat: add customer dashboard feature,128,15,5,False,1
abc000091,phoenix-auth-service,james.taylor,2024-01-08 15:42:00,refactor: improve data validation,142,44,1,False,1
abc000092,phoenix-mobile-api,mark.smith,2024-01-08 11:17:00,chore: update dependencies,157,28,1,False,1
abc000093,phoenix-billing-service,mark.smith,2024-01-08 13:23:00,refactor: improve data validation,154,29,5,True,1
abc000094,phoenix-shared-components,tom.garcia,2024-01-08 19:07:00,fix: urgent production hotfix,23,3,3,False,1
abc000095,phoenix-mobile-api,james.taylor,2024-01-09 14:19:00,chore: update dependencies,163,0,1,False,1
abc000096,phoenix-billing-service,tom.garcia,2024-01-09 18:40:00,fix: urgent production hotfix,129,15,3,False,1
abc000097,phoenix-web-frontend,mark.smith,2024-01-09 15:44:00,feat: add customer dashboard feature,155,37,2,False,1
abc000098,phoenix-mobile-api,mark.smith,2024-01-09 10:38:00,fix: resolve billing calculation issue,89,12,1,True,1
abc000099,phoenix-customer-platform,mark.smith,2024-01-09 18:05:00,chore: update dependencies,21,1,4,True,1
abc000100,phoenix-customer-platform,mark.smith,2024-01-09 17:29:00,feat: add customer dashboard feature,96,32,1,True,1
abc000101,phoenix-shared-components,mark.smith,2024-01-09 09:54:00,fix: urgent production hotfix,38,8,2,False,1
abc000102,phoenix-shared-components,ana.lopez,2024-01-09 11:33:00,feat: add customer dashboard feature,42,14,6,False,1
abc000103,phoenix-auth-service,mark.smith,2024-01-09 14:30:00,refactor: improve data validation,62,8,5,True,1
abc000104,phoenix-web-frontend,ana.lopez,2024-01-09 18:56:00,refactor: improve data validation,87,10,6,False,1
abc000105,phoenix-mobile-api,mark.smith,2024-01-09 17:08:00,fix: urgent production hotfix,47,4,2,True,1
abc000106,phoenix-customer-platform,mark.smith,2024-01-09 11:48:00,feat: implement authentication flow,132,30,4,True,1
abc000107,phoenix-billing-service,david.kumar,2024-01-09 18:40:00,chore: update dependencies,16,2,1,False,1
abc000108,phoenix-customer-platform,mark.smith,2024-01-09 14:38:00,feat: add customer dashboard feature,140,39,5,True,1
abc000109,phoenix-billing-service,mark.smith,2024-01-09 15:27:00,fix: urgent production hotfix,71,21,1,False,1
abc000110,phoenix-mobile-api,tom.garcia,2024-01-10 19:14:00,fix: resolve billing calculation issue,65,20,4,False,1
abc000111,phoenix-mobile-api,james.taylor,2024-01-10 09:11:00,refactor: improve data validation,80,19,5,False,1
abc000112,phoenix-mobile-api,mark.smith,2024-01-10 10:59:00,chore: update dependencies,81,24,3,False,1
abc000113,phoenix-shared-components,mark.smith,2024-01-10 18:33:00,feat: add customer dashboard feature,93,27,6,False,1
abc000114,phoenix-customer-platform,mark.smith,2024-01-10 14:32:00,fix: resolve billing calculation issue,36,3,1,False,1
abc000115,phoenix-web-frontend,mark.smith,2024-01-10 08:38:00,chore: update dependencies,104,5,3,False,1
abc000116,phoenix-billing-service,mark.smith,2024-01-10 13:38:00,chore: update dependencies,126,33,4,False,1
abc000117,phoenix-billing-service,james.taylor,2024-01-10 08:10:00,feat: implement authentication flow,52,8,4,False,1
abc000118,phoenix-shared-components,mark.smith,2024-01-10 15:10:00,chore: update dependencies,78,12,6,True,1
abc000119,phoenix-mobile-api,mark.smith,2024-01-10 10:12:00,feat: implement authentication flow,83,5,5,False,1
abc000120,phoenix-billing-service,ana.lopez,2024-01-10 18:39:00,feat: add customer dashboard feature,148,29,5,False,1
abc000121,phoenix-mobile-api,tom.garcia,2024-01-10 13:31:00,feat: add customer dashboard feature,95,9,3,False,1
abc000122,phoenix-shared-components,mark.smith,2024-01-10 12:43:00,fix: resolve billing calculation issue,36,6,4,True,1
abc000123,phoenix-shared-components,tom.garcia,2024-01-10 19:33:00,chore: update dependencies,135,27,1,True,1
abc000124,phoenix-billing-service,mark.smith,2024-01-10 13:35:00,feat: implement authentication flow,52,0,5,True,1
abc000125,phoenix-billing-service,mark.smith,2024-01-11 14:15:00,fix: urgent production hotfix,157,10,6,False,1
abc000126,phoenix-billing-service,mark.smith,2024-01-11 18:35:00,feat: implement authentication flow,131,2,4,False,1
abc000127,phoenix-web-frontend,mark.smith,2024-01-11 16:33:00,fix: resolve billing calculation issue,68,22,4,False,1
abc000128,phoenix-billing-service,mark.smith,2024-01-11 20:58:00,feat: implement authentication flow,98,30,2,True,1
abc000129,phoenix-mobile-api,james.taylor,2024-01-11 17:28:00,chore: update dependencies,84,8,6,True,1
abc000130,phoenix-billing-service,mark.smith,2024-01-11 18:45:00,feat: add customer dashboard feature,139,25,3,True,1
abc000131,phoenix-shared-components,tom.garcia,2024-01-11 17:46:00,feat: add customer dashboard feature,91,0,1,False,1
abc000132,phoenix-mobile-api,james.taylor,2024-01-11 09:02:00,refactor: improve data validation,104,8,2,False,1
abc000133,phoenix-auth-service,mark.smith,2024-01-11 10:13:00,chore: update dependencies,71,4,2,False,1
abc000134,phoenix-shared-components,james.taylor,2024-01-11 08:09:00,fix: resolve billing calculation issue,64,21,3,False,1
abc000135,phoenix-billing-service,mark.smith,2024-01-11 18:17:00,fix: urgent production hotfix,131,7,4,False,1
abc000136,phoenix-web-frontend,mark.smith,2024-01-11 10:54:00,feat: add customer dashboard feature,60,12,2,True,1
abc000137,phoenix-shared-components,james.taylor,2024-01-11 20:27:00,refactor: improve data validation,148,0,2,False,1
abc000138,phoenix-auth-service,mark.smith,2024-01-11 08:16:00,chore: update dependencies,71,3,4,False,1
abc000139,phoenix-customer-platform,mark.smith,2024-01-11 17:29:00,feat: add customer dashboard feature,153,21,5,True,1
abc000140,phoenix-billing-service,ana.lopez,2024-01-12 13:46:00,fix: urgent production hotfix,118,26,6,False,1
abc000141,phoenix-customer-platform,mark.smith,2024-01-12 08:37:00,feat: implement authentication flow,32,5,1,False,1
abc000142,phoenix-shared-components,ana.lopez,2024-01-12 20:26:00,fix: resolve billing calculation issue,53,3,3,False,1
abc000143,phoenix-billing-service,mark.smith,2024-01-12 19:21:00,fix: resolve billing calculation issue,89,21,5,False,1
abc000144,phoenix-web-frontend,david.kumar,2024-01-12 13:32:00,feat: add customer dashboard feature,141,19,2,False,1
abc000145,phoenix-web-frontend,mark.smith,2024-01-12 12:47:00,fix: resolve billing calculation issue,98,21,6,False,1
abc000146,phoenix-auth-service,mark.smith,2024-01-12 11:38:00,refactor: improve data validation,34,2,3,False,1
abc000147,phoenix-mobile-api,ana.lopez,2024-01-12 18:27:00,fix: urgent production hotfix,141,34,2,False,1
abc000148,phoenix-auth-service,tom.garcia,2024-01-12 11:05:00,fix: resolve billing calculation issue,159,1,3,False,1
abc000149,phoenix-mobile-api,james.taylor,2024-01-12 13:51:00,chore: update dependencies,28,1,5,False,1
abc000150,phoenix-mobile-api,tom.garcia,2024-01-12 20:56:00,fix: resolve billing calculation issue,43,5,6,False,1
abc000151,phoenix-billing-service,mark.smith,2024-01-12 19:49:00,feat: implement authentication flow,117,20,6,False,1
abc000152,phoenix-mobile-api,ana.lopez,2024-01-12 17:26:00,feat: implement authentication flow,150,6,6,False,1
abc000153,phoenix-customer-platform,david.kumar,2024-01-12 15:37:00,refactor: improve data validation,31,7,4,False,1
abc000154,phoenix-web-frontend,mark.smith,2024-01-12 15:55:00,feat: implement authentication flow,33,8,5,False,1
abc000155,phoenix-customer-platform,mark.smith,2024-01-13 16:36:00,feat: add customer dashboard feature,60,5,2,True,1
abc000156,phoenix-web-frontend,mark.smith,2024-01-13 11:12:00,feat: implement authentication flow,157,0,5,False,1
abc000157,phoenix-mobile-api,david.kumar,2024-01-14 14:43:00,fix: urgent production hotfix,154,37,5,False,1
abc000158,phoenix-auth-service,ana.lopez,2024-01-14 08:43:00,feat: add customer dashboard feature,88,3,6,False,1
abc000159,phoenix-auth-service,ana.lopez,2024-01-14 17:38:00,feat: add customer dashboard feature,51,10,6,False,1
abc000160,phoenix-shared-components,david.kumar,2024-01-15 08:58:00,chore: update dependencies,75,23,5,False,1
abc000161,phoenix-shared-components,david.kumar,2024-01-15 18:22:00,feat: add customer dashboard feature,147,35,5,False,1
abc000162,phoenix-billing-service,mark.smith,2024-01-15 16:41:00,fix: urgent production hotfix,95,29,4,False,1
abc000163,phoenix-auth-service,james.taylor,2024-01-15 08:45:00,chore: update dependencies,27,3,4,False,1
abc000164,phoenix-web-frontend,tom.garcia,2024-01-15 17:37:00,feat: add customer dashboard feature,85,28,6,False,1
abc000165,phoenix-web-frontend,mark.smith,2024-01-15 20:19:00,fix: urgent production hotfix,30,2,6,False,1
abc000166,phoenix-billing-service,tom.garcia,2024-01-15 14:40:00,refactor: improve data validation,97,28,3,False,1
abc000167,phoenix-mobile-api,tom.garcia,2024-01-15 09:44:00,feat: add customer dashboard feature,78,16,2,False,1
abc000168,phoenix-mobile-api,james.taylor,2024-01-15 16:21:00,feat: add customer dashboard feature,32,9,4,False,1
abc000169,phoenix-web-frontend,david.kumar,2024-01-15 13:28:00,feat: add customer dashboard feature,142,35,1,False,1
abc000170,phoenix-auth-service,david.kumar,2024-01-15 16:19:00,chore: update dependencies,104,13,1,False,1
abc000171,phoenix-web-frontend,mark.smith,2024-01-15 18:42:00,feat: implement authentication flow,138,43,6,False,1
abc000172,phoenix-mobile-api,mark.smith,2024-01-15 13:42:00,fix: urgent production hotfix,20,1,4,False,1
abc000173,phoenix-customer-platform,mark.smith,2024-01-15 10:12:00,feat: implement authentication flow,143,15,2,False,1
abc000174,phoenix-shared-components,mark.smith,2024-01-15 17:38:00,feat: implement authentication flow,156,46,2,False,1
abc000175,phoenix-web-frontend,mark.smith,2024-01-15 18:51:00,fix: resolve billing calculation issue,65,10,6,False,2
abc000176,phoenix-customer-platform,mark.smith,2024-01-15 13:51:00,fix: urgent production hotfix,128,3,2,True,2
abc000177,phoenix-customer-platform,mark.smith,2024-01-15 10:15:00,chore: update dependencies,133,39,3,False,2
abc000178,phoenix-shared-components,tom.garcia,2024-01-15 17:15:00,chore: update dependencies,121,2,2,True,2
abc000179,phoenix-customer-platform,mark.smith,2024-01-15 14:07:00,refactor: improve data validation,80,25,3,False,2
abc000180,phoenix-mobile-api,mark.smith,2024-01-15 20:30:00,fix: urgent production hotfix,51,7,6,False,2
abc000181,phoenix-auth-service,mark.smith,2024-01-15 18:09:00,chore: update dependencies,132,25,1,False,2
abc000182,phoenix-billing-service,mark.smith,2024-01-15 10:55:00,feat: add customer dashboard feature,183,45,6,True,2
abc000183,phoenix-customer-platform,mark.smith,2024-01-15 14:18:00,fix: resolve billing calculation issue,191,0,3,False,2
abc000184,phoenix-billing-service,james.taylor,2024-01-15 13:51:00,chore: update dependencies,92,6,6,False,2
abc000185,phoenix-billing-service,james.taylor,2024-01-15 08:31:00,fix: resolve billing calculation issue,142,41,2,False,2
abc000186,phoenix-web-frontend,mark.smith,2024-01-16 11:36:00,feat: implement authentication flow,114,1,5,False,2
abc000187,phoenix-shared-components,mark.smith,2024-01-16 19:52:00,feat: add customer dashboard feature,173,52,2,False,2
abc000188,phoenix-shared-components,mark.smith,2024-01-16 14:56:00,fix: resolve billing calculation issue,112,9,1,False,2
abc000189,phoenix-mobile-api,ana.lopez,2024-01-16 13:21:00,feat: implement authentication flow,59,13,6,False,2
abc000190,phoenix-auth-service,mark.smith,2024-01-16 15:01:00,fix: resolve billing calculation issue,134,2,1,False,2
abc000191,phoenix-web-frontend,mark.smith,2024-01-16 11:16:00,fix: urgent production hotfix,41,7,2,False,2
abc000192,phoenix-billing-service,james.taylor,2024-01-16 14:11:00,feat: add customer dashboard feature,96,14,5,False,2
abc000193,phoenix-shared-components,james.taylor,2024-01-16 09:47:00,fix: urgent production hotfix,151,9,1,True,2
abc000194,phoenix-billing-service,mark.smith,2024-01-16 13:14:00,chore: update dependencies,36,0,1,False,2
abc000195,phoenix-web-frontend,mark.smith,2024-01-16 10:56:00,chore: update dependencies,104,17,2,False,2
abc000196,phoenix-web-frontend,mark.smith,2024-01-16 08:20:00,feat: add customer dashboard feature,168,34,5,False,2
abc000197,phoenix-billing-service,david.kumar,2024-01-17 20:10:00,fix: resolve billing calculation issue,44,2,6,False,2
abc000198,phoenix-mobile-api,mark.smith,2024-01-17 19:47:00,fix: urgent production hotfix,73,1,3,False,2
abc000199,phoenix-shared-components,mark.smith,2024-01-17 19:26:00,refactor: improve data validation,95,31,4,True,2
abc000200,phoenix-customer-platform,mark.smith,2024-01-17 17:26:00,chore: update dependencies,170,9,6,False,2
abc000201,phoenix-mobile-api,mark.smith,2024-01-17 13:11:00,chore: update dependencies,88,22,3,False,2
abc000202,phoenix-shared-components,mark.smith,2024-01-17 16:57:00,feat: add customer dashboard feature,118,38,3,False,2
abc000203,phoenix-billing-service,mark.smith,2024-01-17 15:29:00,fix: urgent production hotfix,120,32,5,False,2
abc000204,phoenix-auth-service,mark.smith,2024-01-17 10:34:00,fix: urgent production hotfix,139,8,5,False,2
abc000205,phoenix-shared-components,mark.smith,2024-01-17 10:57:00,chore: update dependencies,67,8,1,False,2
abc000206,phoenix-shared-components,mark.smith,2024-01-17 08:21:00,fix: urgent production hotfix,135,27,1,False,2
abc000207,phoenix-billing-service,mark.smith,2024-01-17 19:45:00,feat: implement authentication flow,136,44,6,False,2
abc000208,phoenix-auth-service,james.taylor,2024-01-18 12:30:00,fix: resolve billing calculation issue,139,29,5,False,2
abc000209,phoenix-mobile-api,mark.smith,2024-01-18 09:56:00,feat: add customer dashboard feature,80,11,2,False,2
abc000210,phoenix-auth-service,mark.smith,2024-01-18 18:43:00,feat: implement authentication flow,157,36,5,True,2
abc000211,phoenix-web-frontend,james.taylor,2024-01-18 17:35:00,feat: implement authentication flow,42,14,6,True,2
abc000212,phoenix-auth-service,ana.lopez,2024-01-18 08:44:00,refactor: improve data validation,183,10,1,False,2
abc000213,phoenix-customer-platform,mark.smith,2024-01-18 18:06:00,feat: implement authentication flow,177,18,2,False,2
abc000214,phoenix-web-frontend,mark.smith,2024-01-18 16:37:00,chore: update dependencies,156,44,2,False,2
abc000215,phoenix-auth-service,mark.smith,2024-01-18 12:26:00,feat: implement authentication flow,38,0,5,False,2
abc000216,phoenix-shared-components,mark.smith,2024-01-18 08:43:00,refactor: improve data validation,166,1,6,False,2
abc000217,phoenix-web-frontend,mark.smith,2024-01-18 13:03:00,fix: resolve billing calculation issue,114,14,6,False,2
abc000218,phoenix-web-frontend,mark.smith,2024-01-18 10:02:00,refactor: improve data validation,87,28,5,False,2
abc000219,phoenix-mobile-api,tom.garcia,2024-01-19 15:17:00,chore: update dependencies,117,20,5,False,2
abc000220,phoenix-billing-service,mark.smith,2024-01-19 15:47:00,chore: update dependencies,69,21,6,False,2
abc000221,phoenix-customer-platform,mark.smith,2024-01-19 20:47:00,feat: implement authentication flow,49,12,3,True,2
abc000222,phoenix-shared-components,mark.smith,2024-01-19 20:46:00,refactor: improve data validation,81,2,2,False,2
abc000223,phoenix-web-frontend,ana.lopez,2024-01-19 20:39:00,feat: add customer dashboard feature,163,36,6,False,2
abc000224,phoenix-auth-service,mark.smith,2024-01-19 14:34:00,fix: urgent production hotfix,149,20,3,False,2
abc000225,phoenix-customer-platform,tom.garcia,2024-01-19 09:51:00,fix: urgent production hotfix,66,9,5,False,2
abc000226,phoenix-mobile-api,mark.smith,2024-01-19 16:32:00,feat: implement authentication flow,110,32,1,False,2
abc000227,phoenix-auth-service,david.kumar,2024-01-19 20:21:00,feat: add customer dashboard feature,123,22,4,False,2
abc000228,phoenix-billing-service,james.taylor,2024-01-19 13:01:00,fix: resolve billing calculation issue,173,16,3,False,2
abc000229,phoenix-auth-service,james.taylor,2024-01-19 13:09:00,feat: implement authentication flow,38,11,1,False,2
abc000230,phoenix-web-frontend,mark.smith,2024-01-20 13:51:00,feat: add customer dashboard feature,157,27,5,False,2
abc000231,phoenix-billing-service,mark.smith,2024-01-20 18:46:00,feat: implement authentication flow,113,15,3,False,2
abc000232,phoenix-shared-components,david.kumar,2024-01-20 14:07:00,chore: update dependencies,70,23,6,False,2
abc000233,phoenix-auth-service,james.taylor,2024-01-20 12:44:00,fix: resolve billing calculation issue,63,4,6,False,2
abc000234,phoenix-customer-platform,ana.lopez,2024-01-21 10:22:00,refactor: improve data validation,39,4,5,False,2
abc000235,phoenix-auth-service,ana.lopez,2024-01-21 17:33:00,feat: add customer dashboard feature,199,18,1,False,2
abc000236,phoenix-web-frontend,tom.garcia,2024-01-22 20:18:00,refactor: improve data validation,159,24,1,False,2
abc000237,phoenix-mobile-api,mark.smith,2024-01-22 17:15:00,refactor: improve data validation,174,43,4,False,2
abc000238,phoenix-billing-service,mark.smith,2024-01-22 10:05:00,chore: update dependencies,53,10,5,True,2
abc000239,phoenix-web-frontend,james.taylor,2024-01-22 12:22:00,chore: update dependencies,77,19,5,False,2
abc000240,phoenix-web-frontend,james.taylor,2024-01-22 17:29:00,refactor: improve data validation,167,18,3,False,2
abc000241,phoenix-customer-platform,tom.garcia,2024-01-22 12:56:00,feat: implement authentication flow,36,1,5,False,2
abc000242,phoenix-auth-service,david.kumar,2024-01-22 10:46:00,feat: add customer dashboard feature,167,21,5,False,2
abc000243,phoenix-mobile-api,mark.smith,2024-01-22 19:29:00,fix: resolve billing calculation issue,65,8,4,False,2
abc000244,phoenix-customer-platform,mark.smith,2024-01-22 16:38:00,fix: urgent production hotfix,96,18,3,False,2
abc000245,phoenix-auth-service,tom.garcia,2024-01-22 11:27:00,refactor: improve data validation,115,26,5,False,2
abc000246,phoenix-auth-service,mark.smith,2024-01-22 10:45:00,chore: update dependencies,120,1,6,False,2
abc000247,phoenix-web-frontend,tom.garcia,2024-01-23 17:16:00,feat: implement authentication flow,70,4,6,True,2
