pr_number,repository,title,author,created_date,merged_date,status,lines_added,lines_deleted,files_changed,commits_count,review_time_hours,requested_reviewers,sprint_number
20,phoenix-customer-platform,Feature: authentication implementation,mark.smith,2024-01-09 00:00:00,2024-01-09 04:00:00,merged,38,8,9,6,4,3,1
21,phoenix-web-frontend,Feature: billing implementation,ana.lopez,2024-01-06 00:00:00,2024-01-06 05:00:00,merged,170,43,12,2,5,3,1
22,phoenix-billing-service,Feature: authentication implementation,tom.garcia,2024-01-03 00:00:00,2024-01-03 06:00:00,merged,106,26,8,5,6,3,1
23,phoenix-customer-platform,Feature: authentication implementation,ana.lopez,2024-01-13 00:00:00,2024-01-13 06:00:00,merged,153,17,8,5,6,3,1
24,phoenix-web-frontend,Feature: dashboard implementation,james.taylor,2024-01-09 00:00:00,2024-01-09 04:00:00,merged,52,10,8,2,4,3,1
25,phoenix-auth-service,Feature: billing implementation,mark.smith,2024-01-08 00:00:00,2024-01-08 06:00:00,merged,81,9,8,5,6,3,1
26,phoenix-mobile-api,Feature: authentication implementation,mark.smith,2024-01-09 00:00:00,2024-01-09 06:00:00,merged,94,24,8,1,6,3,1
27,phoenix-auth-service,Feature: api implementation,mark.smith,2024-01-10 00:00:00,2024-01-10 06:00:00,merged,53,13,6,4,6,3,1
28,phoenix-customer-platform,Feature: api implementation,james.taylor,2024-01-12 00:00:00,,open,127,5,4,6,4,3,1
29,phoenix-web-frontend,Feature: dashboard implementation,tom.garcia,2024-01-09 00:00:00,,closed,100,7,12,5,6,3,1
30,phoenix-billing-service,Feature: authentication implementation,david.kumar,2024-01-01 00:00:00,2024-01-01 06:00:00,merged,96,4,7,6,6,3,1
31,phoenix-mobile-api,Feature: dashboard implementation,ana.lopez,2024-01-02 00:00:00,2024-01-02 04:00:00,merged,65,10,6,1,4,3,1
32,phoenix-billing-service,Feature: api implementation,mark.smith,2024-01-12 00:00:00,2024-01-12 05:00:00,merged,146,0,10,4,5,3,1
33,phoenix-auth-service,Feature: billing implementation,mark.smith,2024-01-22 00:00:00,2024-01-22 08:00:00,merged,105,10,8,1,8,3,2
34,phoenix-customer-platform,Feature: billing implementation,mark.smith,2024-01-22 00:00:00,2024-01-22 06:00:00,merged,58,13,9,3,6,3,2
35,phoenix-auth-service,Feature: authentication implementation,mark.smith,2024-01-23 00:00:00,,closed,137,8,5,2,6,3,2
36,phoenix-shared-components,Feature: api implementation,ana.lopez,2024-01-23 00:00:00,2024-01-23 06:00:00,merged,72,7,2,6,6,3,2
37,phoenix-shared-components,Feature: dashboard implementation,tom.garcia,2024-01-20 00:00:00,2024-01-20 04:00:00,merged,134,38,11,4,4,3,2
38,phoenix-billing-service,Feature: authentication implementation,mark.smith,2024-01-23 00:00:00,2024-01-23 06:00:00,merged,21,5,7,5,6,3,2
39,phoenix-shared-components,Feature: billing implementation,tom.garcia,2024-01-23 00:00:00,2024-01-23 08:00:00,merged,40,15,10,1,8,3,2
40,phoenix-shared-components,Feature: api implementation,mark.smith,2024-01-19 00:00:00,2024-01-19 06:00:00,merged,147,3,9,4,6,3,2
41,phoenix-shared-components,Feature: dashboard implementation,tom.garcia,2024-01-24 00:00:00,2024-01-24 06:00:00,merged,146,30,7,6,6,3,2
42,phoenix-auth-service,Feature: dashboard implementation,david.kumar,2024-01-24 00:00:00,2024-01-24 04:00:00,merged,142,33,9,2,4,3,2
43,phoenix-customer-platform,Feature: dashboard implementation,tom.garcia,2024-01-16 00:00:00,2024-01-16 06:00:00,merged,133,14,11,3,6,3,2
44,phoenix-auth-service,Feature: authentication implementation,ana.lopez,2024-01-21 00:00:00,2024-01-21 08:00:00,merged,74,12,7,5,8,3,2
45,phoenix-web-frontend,Feature: billing implementation,mark.smith,2024-01-25 00:00:00,2024-01-25 08:00:00,merged,55,2,9,3,8,3,2
46,phoenix-billing-service,Feature: api implementation,james.taylor,2024-01-15 00:00:00,2024-01-15 08:00:00,merged,78,5,3,6,8,3,2
47,phoenix-billing-service,Feature: authentication implementation,mark.smith,2024-01-15 00:00:00,2024-01-15 08:00:00,merged,98,7,8,4,8,3,2
48,phoenix-web-frontend,Feature: dashboard implementation,ana.lopez,2024-01-26 00:00:00,,closed,192,45,11,1,8,3,2
49,phoenix-shared-components,Feature: dashboard implementation,david.kumar,2024-01-26 00:00:00,2024-01-26 08:00:00,merged,123,15,7,4,8,3,2
50,phoenix-billing-service,Feature: authentication implementation,mark.smith,2024-01-17 00:00:00,2024-01-17 06:00:00,merged,26,1,10,4,6,3,2
51,phoenix-billing-service,Feature: billing implementation,david.kumar,2024-01-15 00:00:00,2024-01-15 04:00:00,merged,110,3,7,2,4,3,2
52,phoenix-mobile-api,Feature: dashboard implementation,david.kumar,2024-01-17 00:00:00,2024-01-17 08:00:00,merged,94,24,2,5,8,3,2
53,phoenix-web-frontend,Feature: authentication implementation,ana.lopez,2024-01-24 00:00:00,2024-01-24 06:00:00,merged,113,0,3,3,6,3,2
54,phoenix-customer-platform,Feature: authentication implementation,tom.garcia,2024-01-22 00:00:00,2024-01-22 06:00:00,merged,119,31,5,5,6,3,2
55,phoenix-web-frontend,Feature: dashboard implementation,james.taylor,2024-01-15 00:00:00,2024-01-15 06:00:00,merged,177,45,8,1,6,3,2
56,phoenix-auth-service,Feature: billing implementation,mark.smith,2024-01-17 00:00:00,2024-01-17 04:00:00,merged,158,3,4,6,4,3,2
57,phoenix-billing-service,Feature: billing implementation,ana.lopez,2024-01-19 00:00:00,2024-01-19 04:00:00,merged,102,14,2,6,4,3,2
58,phoenix-mobile-api,Feature: dashboard implementation,tom.garcia,2024-01-26 00:00:00,,open,113,27,6,4,6,3,2
59,phoenix-shared-components,Feature: dashboard implementation,mark.smith,2024-01-23 00:00:00,2024-01-23 06:00:00,merged,146,39,3,3,6,3,2
60,phoenix-auth-service,Feature: authentication implementation,ana.lopez,2024-01-17 00:00:00,2024-01-17 04:00:00,merged,143,48,9,3,4,3,2
61,phoenix-auth-service,Feature: authentication implementation,mark.smith,2024-01-18 00:00:00,2024-01-18 06:00:00,merged,115,15,5,5,6,3,2
62,phoenix-shared-components,Feature: billing implementation,mark.smith,2024-01-27 00:00:00,2024-01-27 04:00:00,merged,105,30,8,2,4,3,2
63,phoenix-customer-platform,Feature: authentication implementation,tom.garcia,2024-01-25 00:00:00,2024-01-25 08:00:00,merged,53,10,6,1,8,3,2
64,phoenix-web-frontend,Feature: api implementation,ana.lopez,2024-01-22 00:00:00,2024-01-22 06:00:00,merged,48,1,12,1,6,3,2
65,phoenix-web-frontend,Feature: billing implementation,david.kumar,2024-01-29 00:00:00,2024-01-29 04:00:00,merged,253,63,11,2,4,3,3
66,phoenix-customer-platform,Feature: authentication implementation,mark.smith,2024-02-07 00:00:00,,closed,247,50,11,6,4,3,3
67,phoenix-customer-platform,Feature: dashboard implementation,mark.smith,2024-02-08 00:00:00,2024-02-08 04:00:00,merged,216,22,12,5,4,3,3
68,phoenix-customer-platform,Feature: api implementation,james.taylor,2024-01-29 00:00:00,2024-01-29 07:00:00,merged,280,12,5,1,7,3,3
69,phoenix-billing-service,Feature: billing implementation,tom.garcia,2024-02-06 00:00:00,2024-02-06 10:00:00,merged,284,6,12,6,10,3,3
70,phoenix-shared-components,Feature: dashboard implementation,mark.smith,2024-02-06 00:00:00,2024-02-06 07:00:00,merged,105,6,12,2,7,3,3
71,phoenix-shared-components,Feature: dashboard implementation,tom.garcia,2024-02-08 00:00:00,2024-02-08 10:00:00,merged,186,39,4,5,10,3,3
72,phoenix-customer-platform,Feature: api implementation,mark.smith,2024-02-01 00:00:00,2024-02-01 07:00:00,merged,237,8,9,4,7,3,3
73,phoenix-auth-service,Feature: authentication implementation,mark.smith,2024-02-01 00:00:00,2024-02-01 07:00:00,merged,191,23,5,4,7,3,3
74,phoenix-web-frontend,Feature: authentication implementation,mark.smith,2024-01-29 00:00:00,2024-01-29 10:00:00,merged,274,60,11,2,10,3,3
75,phoenix-shared-components,Feature: api implementation,tom.garcia,2024-01-30 00:00:00,2024-01-30 07:00:00,merged,21,2,8,6,7,3,3
76,phoenix-customer-platform,Feature: authentication implementation,david.kumar,2024-02-07 00:00:00,2024-02-07 07:00:00,merged,314,55,11,4,7,3,3
77,phoenix-auth-service,Feature: authentication implementation,ana.lopez,2024-01-29 00:00:00,2024-01-29 07:00:00,merged,248,47,10,2,7,3,3
78,phoenix-web-frontend,Feature: dashboard implementation,david.kumar,2024-02-06 00:00:00,2024-02-06 10:00:00,merged,187,27,6,2,10,3,3
79,phoenix-customer-platform,Feature: billing implementation,tom.garcia,2024-02-03 00:00:00,2024-02-03 04:00:00,merged,169,44,8,2,4,3,3
80,phoenix-web-frontend,Feature: authentication implementation,tom.garcia,2024-01-30 00:00:00,2024-01-30 10:00:00,merged,44,10,8,1,10,3,3
81,phoenix-web-frontend,Feature: billing implementation,mark.smith,2024-02-08 00:00:00,2024-02-08 10:00:00,merged,159,20,12,3,10,3,3
82,phoenix-billing-service,Feature: billing implementation,james.taylor,2024-02-10 00:00:00,2024-02-10 07:00:00,merged,166,53,11,5,7,3,3
83,phoenix-billing-service,Feature: authentication implementation,mark.smith,2024-02-08 00:00:00,2024-02-08 07:00:00,merged,224,25,7,5,7,3,3
84,phoenix-billing-service,Feature: dashboard implementation,james.taylor,2024-01-29 00:00:00,2024-01-29 07:00:00,merged,205,18,11,1,7,3,3
85,phoenix-billing-service,Feature: dashboard implementation,david.kumar,2024-02-09 00:00:00,2024-02-09 10:00:00,merged,165,34,5,1,10,3,3
86,phoenix-billing-service,Feature: api implementation,tom.garcia,2024-02-07 00:00:00,2024-02-07 07:00:00,merged,167,32,5,3,7,3,3
87,phoenix-billing-service,Feature: billing implementation,mark.smith,2024-01-29 00:00:00,2024-01-29 10:00:00,merged,319,10,10,1,10,3,3
88,phoenix-auth-service,Feature: authentication implementation,david.kumar,2024-02-04 00:00:00,2024-02-04 07:00:00,merged,159,28,6,1,7,3,3
89,phoenix-web-frontend,Feature: authentication implementation,mark.smith,2024-01-31 00:00:00,2024-01-31 07:00:00,merged,172,19,7,4,7,3,3
90,phoenix-auth-service,Feature: dashboard implementation,david.kumar,2024-02-10 00:00:00,2024-02-10 07:00:00,merged,303,0,2,1,7,3,3
91,phoenix-shared-components,Feature: billing implementation,david.kumar,2024-01-29 00:00:00,2024-01-29 04:00:00,merged,236,7,6,5,4,3,3
92,phoenix-shared-components,Feature: billing implementation,mark.smith,2024-02-07 00:00:00,2024-02-07 04:00:00,merged,357,73,4,1,4,3,3
93,phoenix-web-frontend,Feature: billing implementation,david.kumar,2024-02-03 00:00:00,2024-02-03 10:00:00,merged,134,18,5,6,10,3,3
94,phoenix-mobile-api,Feature: dashboard implementation,ana.lopez,2024-02-05 00:00:00,2024-02-05 07:00:00,merged,175,35,11,1,7,3,3
95,phoenix-mobile-api,Feature: api implementation,tom.garcia,2024-02-03 00:00:00,,open,156,31,2,6,4,3,3
96,phoenix-shared-components,Feature: authentication implementation,mark.smith,2024-02-07 00:00:00,2024-02-07 10:00:00,merged,95,5,12,5,10,3,3
97,phoenix-billing-service,Feature: billing implementation,mark.smith,2024-02-10 00:00:00,2024-02-10 10:00:00,merged,252,44,8,1,10,3,3
98,phoenix-mobile-api,Feature: api implementation,mark.smith,2024-02-07 00:00:00,2024-02-07 10:00:00,merged,172,17,8,4,10,3,3
99,phoenix-mobile-api,Feature: billing implementation,david.kumar,2024-02-04 00:00:00,2024-02-04 07:00:00,merged,233,45,9,4,7,3,3
100,phoenix-web-frontend,Feature: api implementation,mark.smith,2024-02-08 00:00:00,2024-02-08 10:00:00,merged,171,29,6,5,10,3,3
101,phoenix-customer-platform,Feature: api implementation,james.taylor,2024-02-17 00:00:00,2024-02-17 08:00:00,merged,91,13,9,2,8,3,4
102,phoenix-auth-service,Feature: api implementation,david.kumar,2024-02-23 00:00:00,,open,183,8,5,6,4,3,4
103,phoenix-billing-service,Feature: billing implementation,mark.smith,2024-02-23 00:00:00,2024-02-23 08:00:00,merged,155,29,6,6,8,3,4
104,phoenix-mobile-api,Feature: api implementation,tom.garcia,2024-02-13 00:00:00,2024-02-13 08:00:00,merged,137,28,2,4,8,3,4
105,phoenix-auth-service,Feature: dashboard implementation,ana.lopez,2024-02-15 00:00:00,2024-02-15 08:00:00,merged,149,5,9,2,8,3,4
106,phoenix-customer-platform,Feature: api implementation,mark.smith,2024-02-14 00:00:00,2024-02-14 04:00:00,merged,204,65,10,1,4,3,4
107,phoenix-customer-platform,Feature: dashboard implementation,tom.garcia,2024-02-14 00:00:00,2024-02-14 12:00:00,merged,442,96,9,4,12,3,4
108,phoenix-billing-service,Feature: api implementation,david.kumar,2024-02-21 00:00:00,2024-02-21 12:00:00,merged,157,56,11,6,12,3,4
109,phoenix-shared-components,Feature: authentication implementation,david.kumar,2024-02-21 00:00:00,2024-02-21 08:00:00,merged,242,36,5,3,8,3,4
110,phoenix-auth-service,Feature: dashboard implementation,james.taylor,2024-02-16 00:00:00,,open,204,47,8,4,8,3,4
111,phoenix-billing-service,Feature: dashboard implementation,mark.smith,2024-02-13 00:00:00,2024-02-13 08:00:00,merged,51,8,12,3,8,3,4
112,phoenix-customer-platform,Feature: authentication implementation,mark.smith,2024-02-21 00:00:00,2024-02-21 08:00:00,merged,215,16,3,4,8,3,4
113,phoenix-auth-service,Feature: api implementation,james.taylor,2024-02-14 00:00:00,2024-02-14 08:00:00,merged,162,35,12,4,8,3,4
114,phoenix-auth-service,Feature: dashboard implementation,mark.smith,2024-02-12 00:00:00,2024-02-12 12:00:00,merged,500,109,8,4,12,3,4
115,phoenix-auth-service,Feature: api implementation,mark.smith,2024-02-19 00:00:00,2024-02-19 12:00:00,merged,143,29,3,1,12,3,4
116,phoenix-auth-service,Feature: authentication implementation,tom.garcia,2024-02-16 00:00:00,,open,194,22,3,2,12,3,4
117,phoenix-billing-service,Feature: dashboard implementation,james.taylor,2024-02-13 00:00:00,2024-02-13 04:00:00,merged,186,6,12,1,4,3,4
118,phoenix-shared-components,Feature: dashboard implementation,mark.smith,2024-02-19 00:00:00,,open,85,17,8,3,4,3,4
119,phoenix-billing-service,Feature: billing implementation,mark.smith,2024-02-17 00:00:00,2024-02-17 04:00:00,merged,255,43,7,5,4,3,4
120,phoenix-auth-service,Feature: dashboard implementation,mark.smith,2024-02-13 00:00:00,2024-02-13 08:00:00,merged,287,51,5,1,8,3,4
121,phoenix-web-frontend,Feature: dashboard implementation,mark.smith,2024-02-23 00:00:00,2024-02-23 04:00:00,merged,314,51,7,1,4,3,4
122,phoenix-customer-platform,Feature: billing implementation,mark.smith,2024-02-12 00:00:00,2024-02-12 08:00:00,merged,128,0,3,5,8,3,4
123,phoenix-web-frontend,Feature: authentication implementation,mark.smith,2024-02-13 00:00:00,2024-02-13 04:00:00,merged,318,83,8,5,4,3,4
124,phoenix-auth-service,Feature: billing implementation,james.taylor,2024-02-18 00:00:00,2024-02-18 08:00:00,merged,76,2,6,3,8,3,4
125,phoenix-web-frontend,Feature: dashboard implementation,mark.smith,2024-02-14 00:00:00,2024-02-14 08:00:00,merged,188,40,5,3,8,3,4
126,phoenix-mobile-api,Feature: dashboard implementation,ana.lopez,2024-02-12 00:00:00,,closed,272,48,5,5,4,3,4
127,phoenix-customer-platform,Feature: authentication implementation,ana.lopez,2024-02-14 00:00:00,2024-02-14 12:00:00,merged,110,9,9,1,12,3,4
128,phoenix-auth-service,Feature: billing implementation,mark.smith,2024-02-12 00:00:00,2024-02-12 12:00:00,merged,161,17,5,5,12,3,4
129,phoenix-auth-service,Feature: billing implementation,david.kumar,2024-02-16 00:00:00,2024-02-16 12:00:00,merged,226,1,7,1,12,3,4
130,phoenix-billing-service,Feature: billing implementation,mark.smith,2024-02-21 00:00:00,2024-02-21 08:00:00,merged,195,15,8,2,8,3,4
131,phoenix-web-frontend,Feature: dashboard implementation,tom.garcia,2024-02-17 00:00:00,2024-02-17 04:00:00,merged,83,3,3,6,4,3,4
132,phoenix-billing-service,Feature: billing implementation,mark.smith,2024-02-21 00:00:00,,closed,143,56,2,4,8,3,4
133,phoenix-shared-components,Feature: billing implementation,david.kumar,2024-02-14 00:00:00,2024-02-14 12:00:00,merged,114,23,3,4,12,3,4
134,phoenix-shared-components,Feature: api implementation,james.taylor,2024-02-19 00:00:00,2024-02-19 08:00:00,merged,167,62,11,1,8,3,4
135,phoenix-billing-service,Feature: billing implementation,mark.smith,2024-02-13 00:00:00,,closed,129,36,3,2,12,3,4
136,phoenix-customer-platform,Feature: billing implementation,mark.smith,2024-02-23 00:00:00,2024-02-23 04:00:00,merged,316,55,4,6,4,3,4
137,phoenix-shared-components,Feature: dashboard implementation,mark.smith,2024-02-24 00:00:00,2024-02-24 08:00:00,merged,140,40,2,3,8,3,4
138,phoenix-customer-platform,Feature: api implementation,david.kumar,2024-02-23 00:00:00,2024-02-23 12:00:00,merged,206,31,3,4,12,3,4
139,phoenix-billing-service,Feature: authentication implementation,mark.smith,2024-02-20 00:00:00,2024-02-20 12:00:00,merged,322,16,6,3,12,3,4
140,phoenix-web-frontend,Feature: billing implementation,mark.smith,2024-02-18 00:00:00,2024-02-18 04:00:00,merged,108,15,2,2,4,3,4
141,phoenix-shared-components,Feature: api implementation,mark.smith,2024-02-20 00:00:00,2024-02-20 12:00:00,merged,211,18,4,2,12,3,4
142,phoenix-billing-service,Feature: api implementation,ana.lopez,2024-02-14 00:00:00,2024-02-14 04:00:00,merged,354,27,8,5,4,3,4
143,phoenix-customer-platform,Feature: dashboard implementation,mark.smith,2024-02-23 00:00:00,2024-02-23 08:00:00,merged,57,16,9,5,8,3,4
144,phoenix-customer-platform,Feature: api implementation,mark.smith,2024-02-16 00:00:00,2024-02-16 12:00:00,merged,221,11,9,4,12,3,4
145,phoenix-customer-platform,Feature: api implementation,mark.smith,2024-02-16 00:00:00,2024-02-16 08:00:00,merged,230,4,8,6,8,3,4
146,phoenix-mobile-api,Feature: billing implementation,mark.smith,2024-02-17 00:00:00,2024-02-17 08:00:00,merged,215,34,6,3,8,3,4
147,phoenix-customer-platform,Feature: authentication implementation,mark.smith,2024-02-22 00:00:00,2024-02-22 04:00:00,merged,106,30,11,3,4,3,4
148,phoenix-customer-platform,Feature: api implementation,james.taylor,2024-02-17 00:00:00,2024-02-17 08:00:00,merged,73,22,10,1,8,3,4
149,phoenix-customer-platform,Feature: authentication implementation,mark.smith,2024-03-07 00:00:00,2024-03-07 09:00:00,merged,194,54,4,2,9,3,5
150,phoenix-web-frontend,Feature: authentication implementation,mark.smith,2024-02-26 00:00:00,2024-02-26 14:00:00,merged,222,36,10,4,14,3,5
151,phoenix-billing-service,Feature: api implementation,mark.smith,2024-02-28 00:00:00,2024-02-28 09:00:00,merged,183,44,4,5,9,3,5
152,phoenix-web-frontend,Feature: billing implementation,tom.garcia,2024-03-09 00:00:00,2024-03-09 04:00:00,merged,171,6,10,2,4,3,5
153,phoenix-billing-service,Feature: billing implementation,david.kumar,2024-02-26 00:00:00,2024-02-26 14:00:00,merged,105,37,4,3,14,3,5
154,phoenix-mobile-api,Feature: dashboard implementation,david.kumar,2024-02-28 00:00:00,2024-02-28 14:00:00,merged,188,25,12,3,14,3,5
155,phoenix-auth-service,Feature: billing implementation,mark.smith,2024-03-07 00:00:00,2024-03-07 14:00:00,merged,281,16,11,5,14,3,5
156,phoenix-shared-components,Feature: billing implementation,mark.smith,2024-02-26 00:00:00,2024-02-26 04:00:00,merged,120,30,11,5,4,3,5
157,phoenix-mobile-api,Feature: billing implementation,mark.smith,2024-03-09 00:00:00,2024-03-09 09:00:00,merged,329,100,11,6,9,3,5
158,phoenix-auth-service,Feature: billing implementation,ana.lopez,2024-03-09 00:00:00,2024-03-09 04:00:00,merged,210,21,6,1,4,3,5
159,phoenix-shared-components,Feature: authentication implementation,mark.smith,2024-03-05 00:00:00,2024-03-05 14:00:00,merged,73,14,9,5,14,3,5
160,phoenix-web-frontend,Feature: dashboard implementation,mark.smith,2024-02-27 00:00:00,2024-02-27 09:00:00,merged,213,37,8,1,9,3,5
161,phoenix-customer-platform,Feature: billing implementation,mark.smith,2024-03-05 00:00:00,2024-03-05 14:00:00,merged,91,34,7,1,14,3,5
162,phoenix-mobile-api,Feature: api implementation,mark.smith,2024-03-02 00:00:00,2024-03-02 04:00:00,merged,281,5,2,5,4,3,5
163,phoenix-customer-platform,Feature: authentication implementation,james.taylor,2024-03-06 00:00:00,2024-03-06 14:00:00,merged,230,56,3,3,14,3,5
164,phoenix-mobile-api,Feature: api implementation,tom.garcia,2024-03-06 00:00:00,2024-03-06 09:00:00,merged,124,30,4,6,9,3,5
165,phoenix-mobile-api,Feature: api implementation,david.kumar,2024-03-02 00:00:00,2024-03-02 04:00:00,merged,322,35,10,6,4,3,5
166,phoenix-mobile-api,Feature: api implementation,mark.smith,2024-02-29 00:00:00,2024-02-29 04:00:00,merged,301,54,12,4,4,3,5
167,phoenix-shared-components,Feature: dashboard implementation,mark.smith,2024-02-27 00:00:00,2024-02-27 14:00:00,merged,343,76,7,4,14,3,5
168,phoenix-shared-components,Feature: api implementation,ana.lopez,2024-02-27 00:00:00,2024-02-27 09:00:00,merged,258,5,9,1,9,3,5
169,phoenix-billing-service,Feature: api implementation,david.kumar,2024-03-06 00:00:00,2024-03-06 04:00:00,merged,229,14,7,5,4,3,5
170,phoenix-customer-platform,Feature: authentication implementation,mark.smith,2024-02-28 00:00:00,2024-02-28 09:00:00,merged,140,40,3,3,9,3,5
171,phoenix-web-frontend,Feature: billing implementation,mark.smith,2024-03-02 00:00:00,,open,103,17,12,2,14,3,5
172,phoenix-customer-platform,Feature: dashboard implementation,mark.smith,2024-03-05 00:00:00,2024-03-05 09:00:00,merged,111,7,3,6,9,3,5
173,phoenix-shared-components,Feature: authentication implementation,ana.lopez,2024-03-05 00:00:00,2024-03-05 14:00:00,merged,214,9,8,3,14,3,5
174,phoenix-billing-service,Feature: api implementation,mark.smith,2024-03-07 00:00:00,2024-03-07 04:00:00,merged,257,54,6,5,4,3,5
175,phoenix-web-frontend,Feature: dashboard implementation,mark.smith,2024-02-27 00:00:00,2024-02-27 04:00:00,merged,160,0,3,5,4,3,5
176,phoenix-auth-service,Feature: api implementation,mark.smith,2024-03-05 00:00:00,2024-03-05 04:00:00,merged,249,71,4,2,4,3,5
177,phoenix-customer-platform,Feature: dashboard implementation,tom.garcia,2024-03-01 00:00:00,2024-03-01 04:00:00,merged,150,42,10,5,4,3,5
178,phoenix-mobile-api,Feature: dashboard implementation,david.kumar,2024-03-07 00:00:00,2024-03-07 14:00:00,merged,304,8,9,5,14,3,5
179,phoenix-mobile-api,Feature: authentication implementation,mark.smith,2024-02-27 00:00:00,2024-02-27 04:00:00,merged,206,13,6,3,4,3,5
180,phoenix-mobile-api,Feature: dashboard implementation,tom.garcia,2024-03-06 00:00:00,,open,303,67,2,5,4,3,5
181,phoenix-customer-platform,Feature: api implementation,mark.smith,2024-02-27 00:00:00,2024-02-27 04:00:00,merged,313,11,11,5,4,3,5
182,phoenix-web-frontend,Feature: billing implementation,mark.smith,2024-03-08 00:00:00,2024-03-08 04:00:00,merged,140,24,6,1,4,3,5
183,phoenix-customer-platform,Feature: authentication implementation,tom.garcia,2024-03-09 00:00:00,2024-03-09 14:00:00,merged,122,1,12,4,14,3,5
184,phoenix-web-frontend,Feature: authentication implementation,mark.smith,2024-03-01 00:00:00,2024-03-01 04:00:00,merged,180,13,9,5,4,3,5
185,phoenix-customer-platform,Feature: billing implementation,mark.smith,2024-03-03 00:00:00,2024-03-03 04:00:00,merged,233,53,2,5,4,3,5
186,phoenix-mobile-api,Feature: dashboard implementation,mark.smith,2024-03-03 00:00:00,2024-03-03 14:00:00,merged,269,45,10,2,14,3,5
187,phoenix-shared-components,Feature: api implementation,mark.smith,2024-03-06 00:00:00,2024-03-06 14:00:00,merged,263,42,6,5,14,3,5
188,phoenix-billing-service,Feature: api implementation,mark.smith,2024-02-29 00:00:00,,closed,201,35,10,6,9,3,5
189,phoenix-shared-components,Feature: billing implementation,mark.smith,2024-02-27 00:00:00,,open,114,3,3,5,14,3,5
190,phoenix-shared-components,Feature: authentication implementation,mark.smith,2024-03-04 00:00:00,2024-03-04 04:00:00,merged,83,23,8,2,4,3,5
191,phoenix-mobile-api,Feature: authentication implementation,tom.garcia,2024-02-29 00:00:00,2024-02-29 09:00:00,merged,124,41,11,6,9,3,5
192,phoenix-auth-service,Feature: dashboard implementation,mark.smith,2024-02-27 00:00:00,2024-02-27 09:00:00,merged,211,69,2,4,9,3,5
193,phoenix-web-frontend,Feature: api implementation,ana.lopez,2024-03-05 00:00:00,2024-03-05 04:00:00,merged,155,7,6,6,4,3,5
194,phoenix-auth-service,Feature: billing implementation,james.taylor,2024-03-23 00:00:00,2024-03-23 10:00:00,merged,91,8,6,3,10,3,6
195,phoenix-customer-platform,Feature: authentication implementation,mark.smith,2024-03-19 00:00:00,2024-03-19 10:00:00,merged,249,8,6,5,10,3,6
